Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
jeera-toast,Jeera Toast,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
jeera-toast,Jeera Toast,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
kaju-toast,Kaju Toast,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
kaju-toast,Kaju Toast,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
chicken-puff,Chicken Puff,Quantity,1pcs,,,,,"",,,Moti bakery,,0,0,0,101,101,
pineapple-cake,Pineapple cake,size,500gms,,,,,"",,,Moti bakery,,0,0,0,50,50,
pineapple-cake,Pineapple cake,size,1kg,,,,,"",,,Moti bakery,,0,0,0,50,50,
anjeer-katli,Anjeer Katli,size,250gms,,,,,"",,,Moti bakery,,0,0,0,50,50,
anjeer-katli,Anjeer Katli,size,500gms,,,,,"",,,Moti bakery,,0,0,0,50,50,
anjeer-katli,Anjeer Katli,size,1kg,,,,,"",,,Moti bakery,,0,0,0,50,50,
classic-khari,Classic Khari,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
egg-biscuit,Egg Biscuit,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
aloo-matar-puff,Aloo Matar Puff,Title,Default Title,,,,,"",,,Moti bakery,,0,0,0,100,100,
butter-jeera-khari,Butter Jeera Khari,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
irani-toast,Irani toast,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
cake-rusk,Cake rusk,Title,Default Title,,,,,"",,,Moti bakery,,0,0,0,100,100,
mohanthal,Mohanthal,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
mohanthal,Mohanthal,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
mohanthal,Mohanthal,size,1kg,,,,,"",,,Moti bakery,,0,0,0,100,100,
kaju-katli,Kaju Katli,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
kaju-katli,Kaju Katli,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
kaju-katli,Kaju Katli,size,1kg,,,,,"",,,Moti bakery,,0,0,0,100,100,
khajur-bites,Khajur Bites,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
khajur-bites,Khajur Bites,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
khajur-bites,Khajur Bites,size,1kg,,,,,"",,,Moti bakery,,0,0,0,100,100,
assorted-bites-box,Assorted Bites Box,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
gulab-jamun,Gulab Jamun,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
rasgulla,Rasgulla,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
kaju-makroom,Kaju Makroom,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
almond-biscotti,Almond Biscotti,size,300gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
premium-butter-kaju-cookies,Premium Butter Kaju Cookies,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
premium-butter-kesar-pista-cookies,Premium Butter Kesar Pista Cookies,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
badam-coconut-cookies,Badam Coconut Cookies,size,250gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
badam-coconut-cookies,Badam Coconut Cookies,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
dark-chocolate,Dark Chocolate Cookies,size,300gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
dark-chocolate,Dark Chocolate Cookies,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
dry-fruits-assorted-cookies,Dry Fruits Assorted Cookies,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
paneer-puff,Paneer Puff,Title,Default Title,,,,,"",,,Moti bakery,,0,0,0,100,100,
paneer-chilly-roll,Paneer Chilly Roll,Title,Default Title,,,,,"",,,Moti bakery,,0,0,0,100,100,
butter-chicken-roll,Butter Chicken Roll,Title,Default Title,,,,,"",,,Moti bakery,,0,0,0,100,100,
chicken-burger,Chicken Burger,Title,Default Title,,,,,"",,,Moti bakery,,0,0,0,100,100,
chicken-chilli-roll,Chicken Chilli Roll,Title,Default Title,,,,,"",,,Moti bakery,,0,0,0,100,100,
blackforest-cake,Blackforest Cake,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
blackforest-cake,Blackforest Cake,size,1kg,,,,,"",,,Moti bakery,,0,0,0,100,100,
chocolate-crunch-cake,Chocolate Crunch Cake,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
chocolate-crunch-cake,Chocolate Crunch Cake,size,1kg,,,,,"",,,Moti bakery,,0,0,0,100,100,
almond-honey-cake,Almond Honey cake,size,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
almond-honey-cake,Almond Honey cake,size,1kg,,,,,"",,,Moti bakery,,0,0,0,100,100,
chocolate-dairy-milk-cake-1,Chocolate Truffle Cake,weight,500gms,,,,,"",,,Moti bakery,,0,0,0,100,100,
chocolate-dairy-milk-cake,Chocolate Dairy Milk cake,weight,500g,,,,,"",,,Moti bakery,,0,0,0,100,100,
