id,handle,title,option1_name,option1_value,option2_name,option2_value,option3_name,option3_value,coo,location,bin_name,incoming,unavailable,committed,available,on_hand_current,on_hand_new,name,category,rate,weight,flavours,status,image,created_at,updated_at,min_weight,max_weight
00090cf5-e0fa-4293-b4ef-ec305387f077,cake-222,Cake 222,Title,-,flavours,"[{""name"":""Butter Scotch"",""price"":""725.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""725.0"",""customName"":""""},{""name"":""Pineapple"",""price"":""725.0"",""customName"":""""},{""name"":""Black Forest"",""price"":""725.0"",""customName"":""""},{""name"":""Mix Fruit"",""price"":""725.0"",""customName"":""""},{""name"":""Almond Honey"",""price"":""725.0"",""customName"":""""},{""name"":""Choco Crunch"",""price"":""725.0"",""customName"":""""},{""name"":""Rainbow"",""price"":""725.0"",""customName"":""""},{""name"":""Choco Vanilla"",""price"":""725.0"",""customName"":""""},{""name"":""White Forest"",""price"":""725.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 222,General,725.0,,10,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_1652704457.webp,2025-02-05 14:09:37+00,2026-05-07 15:20:59.681127+00,2.0,
0084cd9b-86d1-47f7-9b79-57245d4b43ae,cake-17,Cake 17,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""700.00"",""customName"":""""},{""name"":""Butterscotch"",""price"":""675"",""customName"":""""},{""name"":""Strawberry"",""price"":""675"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 17,General,675,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/00017.webp,2026-04-01 08:33:40.519523+00,2026-05-07 15:19:03.862237+00,2,
00c05fa7-cdc4-4fc3-a700-7e8622a296ae,cake-729,Cake 729,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""675.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""675.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""675.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 729,General,675.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_330.webp,2025-02-05 14:09:37+00,2026-05-07 15:22:59.763579+00,2.0,
00ed6137-c5d6-46a4-a31b-20aa53021145,cake-169,Cake 169,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""650.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""650.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""650.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 169,General,650.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_0169.webp,2025-02-05 14:09:37+00,2026-05-07 15:20:30.748064+00,1.0,
010c3b94-0fe0-4ee7-9c56-58c03e08de64,cake-1292,Cake 1292,Title,-,flavours,"[{""name"":""Butterscotch"",""price"":""675.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""675.0"",""customName"":""""},{""name"":""Pineapple"",""price"":""675.0"",""customName"":""""},{""name"":""Black Forest"",""price"":""675.0"",""customName"":""""},{""name"":""Mix Fruit"",""price"":""675.0"",""customName"":""""},{""name"":""Almond Honey"",""price"":""675.0"",""customName"":""""},{""name"":""Choco Crunch"",""price"":""675.0"",""customName"":""""},{""name"":""Rainbow"",""price"":""675.0"",""customName"":""""},{""name"":""Choco Vanilla"",""price"":""675.0"",""customName"":""""},{""name"":""White Forest"",""price"":""675.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 1292,General,675.0,,10,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_1652705480.webp,2025-02-05 14:09:37+00,2026-05-07 15:28:07.438671+00,2.0,
0221cc49-8c5c-48b1-b8a1-7c0c0b65603c,cake-921,Cake 921,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""1200.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""1200.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""1200.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 921,General,1200.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/00428.webp,2025-02-05 14:27:41+00,2026-05-07 15:24:19.39425+00,4.0,
0230e4aa-8f03-4ea1-8ac9-0c75ba80c535,cake-838,Cake 838,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""700.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""700.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""700.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 838,General,700.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_404.webp,2025-02-05 14:09:37+00,2026-05-07 15:23:55.357398+00,4.0,
0263152b-30cc-4a98-8915-b7b8b33a2bac,cake-1177,Cake 1177,Title,-,flavours,"[{""name"":""Butterscotch"",""price"":""875.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""875.0"",""customName"":""""},{""name"":""Pineapple"",""price"":""875.0"",""customName"":""""},{""name"":""Black Forest"",""price"":""875.0"",""customName"":""""},{""name"":""Mix Fruit"",""price"":""875.0"",""customName"":""""},{""name"":""Almond Honey"",""price"":""875.0"",""customName"":""""},{""name"":""Choco Crunch"",""price"":""875.0"",""customName"":""""},{""name"":""Rainbow"",""price"":""875.0"",""customName"":""""},{""name"":""Choco Vanilla"",""price"":""875.0"",""customName"":""""},{""name"":""White Forest"",""price"":""875.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 1177,General,875.0,,10,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_1652694741.webp,2025-02-05 14:09:37+00,2026-05-07 15:27:06.404163+00,4.0,
02ca1e59-c191-4bf4-9abc-eb949d90bc31,cake-408,Cake 408,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""700.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""700.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""700.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 408,General,700.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_194.webp,2025-02-05 14:09:37+00,2026-05-07 15:21:07.393337+00,5.0,
02e2c2ce-aef7-4f40-8ed3-03d537ff67b9,cake-915,Cake 915,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""1200.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""1200.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""1200.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 915,General,1200.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/00422.webp,2025-02-05 14:26:42+00,2026-05-07 15:24:16.443636+00,5.0,
03064261-1394-450b-b0a9-965b80785064,cake-973,Cake 973,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""1200.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""1200.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""1200.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 973,General,1200.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/00481.webp,2025-02-05 14:47:46+00,2026-05-07 15:24:48.596454+00,3.0,
0379e52c-ea45-4969-83f6-4a08ebbd35c4,cake-405,Cake 405,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""725.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""725.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""725.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 405,General,725.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_188.webp,2025-07-31 13:37:04+00,2026-05-07 15:21:05.859682+00,5.0,
037b5a77-8821-41c0-8e48-66a1d4b4a412,cake-513,Cake 513,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""675.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""675.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""675.0"",""customName"":""""},{""name"":""Almond Honey"",""price"":""675.0"",""customName"":""""},{""name"":""Caramel Crunch"",""price"":""675.0"",""customName"":""""},{""name"":""Redvelvet"",""price"":""675.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 513,General,675.0,,6,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_FBIMG1577765878663.webp,2025-02-05 16:21:06+00,2026-05-07 15:22:06.198705+00,5.0,
0392f8f2-bf9f-4bcf-9396-e34b5ef0b5cd,cake-821,Cake 821,Title,-,flavours,"[{""name"":""Pineapple"",""price"":""700.0"",""customName"":""""},{""name"":""Butter Scotch"",""price"":""700.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""700.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 821,General,700.0,,3,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_386.webp,2025-02-05 14:09:37+00,2026-05-07 15:23:46.441954+00,3.0,
045a6c1a-9ca5-4216-9d43-1a2a5d860a05,cake-1346,Cake 1346,Title,-,flavours,"[{""name"":""Butterscotch"",""price"":""1200.0"",""customName"":""""},{""name"":""Strawberry"",""price"":""1200.0"",""customName"":""""},{""name"":""Pineapple"",""price"":""1200.0"",""customName"":""""},{""name"":""Black Forest"",""price"":""1200.0"",""customName"":""""},{""name"":""Mix Fruit"",""price"":""1200.0"",""customName"":""""},{""name"":""Almond Honey"",""price"":""1200.0"",""customName"":""""},{""name"":""Choco Crunch"",""price"":""1200.0"",""customName"":""""},{""name"":""Rainbow"",""price"":""1200.0"",""customName"":""""},{""name"":""Choco Vanilla"",""price"":""1200.0"",""customName"":""""},{""name"":""White Forest"",""price"":""1200.0"",""customName"":""""}]",,,,Moti bakery,,0,0,0,0,0,,Cake 1346,General,1200.0,,10,active,https://jygsbebawnkvyaqohxes.supabase.co/storage/v1/object/public/cake-images/converted_webp/resized_1652767130.webp,2025-02-05 14:47:46+00,2026-05-07 15:28:34.802102+00,5.0,
